,en_title,style_boy,style_romantic,style_cartoon,style_realitic,style_graphicnoble,style_etc
0,SubZero,1,0,0,0,0,0
1,The First Night With the Duke,0,1,0,0,0,0
2,Nice To Meet You,0,1,0,0,0,0
3,Rooftops & Roommates,0,0,0,0,1,0
4,Everything is Fine,0,0,1,0,0,0
5,To Love Your Enemy,0,1,0,0,0,0
6,Tower of God,1,0,0,0,0,0
7,My Giant Nerd Boyfriend,0,0,0,0,1,0
8,It's Mine,1,0,0,0,0,0
9,Your Smile is a Trap,0,1,0,0,0,0
10,WEBTOON Now,0,0,0,0,0,1
11,Dungeons & Artifacts,1,0,0,0,0,0
12,The Doctors are Out,1,0,0,0,0,0
13,Spells From Hell,0,0,0,0,1,0
14,No Longer A Heroine!,0,1,0,0,0,0
15,To You Who Swallowed a Star,0,1,0,0,0,0
16,Wind Breaker,0,0,0,1,0,0
17,Code Adam,1,0,0,0,0,0
18,Room of Swords,0,0,0,0,1,0
19,Safely Endangered,0,0,1,0,0,0
20,The Build Up,1,0,0,0,0,0
21,Marry Me!,0,1,0,0,0,0
22,Midnight Rain,0,1,0,0,0,0
23,If AI Ruled the World,1,0,0,0,0,0
24,Gecko Chan,0,0,1,0,0,0
25,DON'T HATE,0,0,0,0,1,0
26,Plum,0,0,1,0,0,0
27,Kubera,0,1,0,0,0,0
28,Trump,0,1,0,0,0,0
29,Cursed Princess Club,0,1,0,0,0,0
30,The Four of Them,0,1,0,0,0,0
31,Heir's Game,0,0,0,0,1,0
32,EMPYREA,0,0,0,1,0,0
33,Edith,0,0,0,0,1,0
34,BRAIN Anthology,0,0,0,0,1,0
35,Let's Play,0,1,0,0,0,0
36,Down To Earth,0,0,0,0,1,0
37,Boyfriends.,0,1,0,0,0,0
38,My Deepest Secret,0,1,0,0,0,0
39,The Advanced Player of the Tutorial Tower,0,1,0,0,0,0
40,The Makeup Remover,0,1,0,0,0,0
41,Acception,0,0,1,0,0,0
42,Eleceed,0,1,0,0,0,0
43,Purple Hyacinth,0,1,0,0,0,0
44,The Wrath & the Dawn,0,0,0,0,1,0
45,Odd Girl Out,0,1,0,0,0,0
46,Seasons of Blossom,0,1,0,0,0,0
47,Winter Moon,0,1,0,0,0,0
48,Not So Shoujo Love Story,0,1,0,0,0,0
49,Romance 101,0,1,0,0,0,0
50,Adventures of God,0,0,1,0,0,0
51,Viral Hit,1,0,0,0,0,0
52,Murrz,0,0,1,0,0,0
53,Live with Yourself!,0,0,1,0,0,0
54,It Was All You,0,1,0,0,0,0
55,The Wolfman of Wulvershire,0,1,0,0,0,0
56,The Hip Guy,0,1,0,0,0,0
57,My Roommate is a Gumiho,0,1,0,0,0,0
58,Stagtown,0,0,1,0,0,0
59,Small World,0,0,1,0,0,0
60,Nothing Special,0,0,1,0,0,0
61,Da Yomanville Gang,0,0,0,0,1,0
62,Zero Game,0,1,0,0,0,0
63,The Savior's Time,0,1,0,0,0,0
64,Lavender Jack,0,0,1,0,0,0
65,Pound,1,0,0,0,0,0
66,Supersonic Girl,0,0,1,0,0,0
67,Little Matcha Girl,0,1,0,0,0,0
68,Boyfriend of the Dead,1,0,0,0,0,0
69,Skye,0,1,0,0,0,0
70,Watermelon,0,0,1,0,0,0
71,Luggage,0,0,0,1,0,0
72,True Beauty,0,1,0,0,0,0
73,Age Matters,0,1,0,0,0,0
74,Omniscient Reader,1,0,0,0,0,0
75,Phase,0,1,0,0,0,0
76,Love Me Knot,0,1,0,0,0,0
77,Swimming Lessons for a Mermaid,0,1,0,0,0,0
78,Everywhere & Nowhere,0,1,0,0,0,0
79,Bluechair,0,0,1,0,0,0
80,The Prince of Southland,0,0,0,0,1,0
81,Rebirth,1,0,0,0,0,0
82,Neon Revenge,1,0,0,0,0,0
83,The Girl Downstairs,0,1,0,0,0,0
84,When the Day Comes,0,0,1,0,0,0
85,Fluidum,0,0,0,0,1,0
86,Crown of Feathers,1,0,0,0,0,0
87,DICE,1,0,0,0,0,0
88,Garden Club Detective Squad,0,0,1,0,0,0
89,The Masked Fables,0,1,0,0,0,0
90,Deadlove,0,0,1,0,0,0
91,Elf & Warrior,0,0,1,0,0,0
92,Bloodless Wars,1,0,0,0,0,0
93,SOLEIL,0,0,1,0,0,0
94,The World Where I Belong,1,0,0,0,0,0
95,Denma,0,0,1,0,0,0
96,Unlucky is as Lucky does,0,0,1,0,0,0
97,The Red Hook: Blackout,0,0,0,0,1,0
98,Outrage,0,0,0,0,1,0
99,HEART Anthology,0,0,1,0,0,0
100,Soul on Hold,0,0,0,0,1,0
101,In the Bleak Midwinter;,1,0,0,0,0,0
102,Darbi,0,0,0,1,0,0
103,The Devil is a Handsome Man,0,0,0,0,1,0
104,Mage & Demon Queen,0,1,0,0,0,0
105,Unholy Blood,0,1,0,0,0,0
106,The Boxer,0,0,0,1,0,0
107,See You in My 19th Life,0,1,0,0,0,0
108,Jungle Juice,1,0,0,0,0,0
109,Brass & Sass,0,0,0,0,1,0
110,Shotgun Boy,1,0,0,0,0,0
111,Weak Hero,1,0,0,0,0,0
112,Act Like You Love Me!,0,1,0,0,0,0
113,The Witch and The Bull,0,1,0,0,0,0
114,Surviving Romance,0,1,0,0,0,0
115,Shadow Bride,0,1,0,0,0,0
116,She Would Never Know,0,1,0,0,0,0
117,Parallel City,1,0,0,0,0,0
118,Escape Room,1,0,0,0,0,0
119,CARL,0,0,1,0,0,0
120,Pyramid Game,0,1,0,0,0,0
121,Kind of Confidential,0,0,1,0,0,0
122,Just Pancakes,0,0,1,0,0,0
123,Beetle Hands,1,0,0,0,0,0
124,ROB,0,0,0,1,0,0
125,unOrdinary,1,0,0,0,0,0
126,City of Blank,0,0,1,0,0,0
127,Simon Sues,1,0,0,0,0,0
128,AntiSTALKER,0,0,1,0,0,0
129,Space Boy,0,0,1,0,0,0
130,My Dictator Boyfriend,0,0,1,0,0,0
131,The Red King,1,0,0,0,0,0
132,Unlovable Replacement,0,1,0,0,0,0
133,Lalin's Curse,1,0,0,0,0,0
134,Suitor Armor,1,0,0,0,0,0
135,I Love Yoo,0,1,0,0,0,0
136,The God of High School,1,0,0,0,0,0
137,Muted,0,0,0,0,1,0
138,Hardcore Leveling Warrior,0,0,1,0,0,0
139,The Gamer,1,0,0,0,0,0
140,Dating With a Tail,0,1,0,0,0,0
141,Secret Playlist,0,1,0,0,0,0
142,Brimstone and Roses,0,0,0,0,1,0
143,Lost in Translation,0,1,0,0,0,0
144,Back to You,0,1,0,0,0,0
145,"Mom, I'm Sorry",0,1,0,0,0,0
146,No Scope,1,0,0,0,0,0
147,Andy Bass,0,0,1,0,0,0
148,Hooves of Death,0,0,1,0,0,0
149,microHUNTER,1,0,0,0,0,0
150,Raven Saga,0,1,0,0,0,0
151,Little Rain,0,1,0,0,0,0
152,Gul,0,0,1,0,0,0
153,Newman,0,0,1,0,0,0
154,Four Leaf,0,0,1,0,0,0
155,Athena Complex,0,1,0,0,0,0
156,Beyond Virtual,0,1,0,0,0,0
157,Distant Sky,1,0,0,0,0,0
158,Thornstone,0,0,1,0,0,0
159,KILLMAX,1,0,0,0,0,0
160,Trailer Park Warlock,0,0,1,0,0,0
161,Choco Latte,0,1,0,0,0,0
162,Love Advice from the Great Duke of Hell,1,0,0,0,0,0
163,Version Day and Night,0,1,0,0,0,0
164,Third Shift Society,1,0,0,0,0,0
165,#Blessed,0,0,1,0,0,0
166,Midnight Poppy Land,0,1,0,0,0,0
167,Men of the Harem,0,1,0,0,0,0
168,Like Wind on a Dry Branch,0,1,0,0,0,0
169,Your Throne,0,1,0,0,0,0
170,The Strongest Florist,1,0,0,0,0,0
171,Return to Player,1,0,0,0,0,0
172,Death of a Pop Star,0,1,0,0,0,0
173,Devilish Romance,0,1,0,0,0,0
174,The Croaking,0,0,0,1,0,0
175,How to Become a Dragon,0,1,0,0,0,0
176,Lone,0,0,1,0,0,0
177,Urban Animal,0,0,0,0,1,0
178,The Snake and the Flower,1,0,0,0,0,0
179,The Wendybird,1,0,0,0,0,0
180,Bad Signs,0,0,1,0,0,0
181,Random Chat,1,0,0,0,0,0
182,Shiloh,0,0,0,0,1,0
183,Witch Creek Road,0,0,0,1,0,0
184,Dr. Frost,1,0,0,0,0,0
185,Locker & Opener,0,1,0,0,0,0
186,Fluffy Boyfriend,0,1,0,0,0,0
187,Ghost Bats,0,0,1,0,0,0
188,Guardians of the Video Game,0,0,1,0,0,0
189,Deor,1,0,0,0,0,0
190,The Kiss Bet,0,0,1,0,0,0
191,CinnamonRoll,0,1,0,0,0,0
192,#Killstagram,0,0,1,0,0,0
193,Uriah,1,0,0,0,0,0
194,Lore Olympus,0,0,1,0,0,0
195,The Remarried Empress,0,1,0,0,0,0
196,My Gently Raised Beast,0,1,0,0,0,0
197,Castle Swimmer,1,0,0,0,0,0
198,LUMINE,0,0,1,0,0,0
199,Not Even Bones,0,0,0,0,1,0
200,Jackson's Diary,0,0,0,0,1,0
201,I'm the Grim Reaper,1,0,0,0,0,0
202,The Newlywed Diary of a Witch and a Dragon,0,1,0,0,0,0
203,Blades of Furry,0,0,1,0,0,0
204,Lookism,0,1,0,0,0,0
205,Before We Knew It,0,1,0,0,0,0
206,LoveBot,0,0,0,0,1,0
207,Blood-Ink,0,0,0,0,1,0
208,Mystical,0,1,0,0,0,0
209,There's Love Hidden in Lies,0,1,0,0,0,0
210,Covenant,1,0,0,0,0,0
211,The World is Money and Power,0,1,0,0,0,0
212,Tales of the Unusual,1,0,0,0,0,0
213,Stray Souls,0,0,0,0,1,0
214,Seed,0,0,1,0,0,0
215,Asterion,0,0,0,0,1,0
216,American Road Trip,1,0,0,0,0,0
217,The Shadow Prophet,0,0,1,0,0,0
218,IF,0,0,1,0,0,0
